ID	NAME	D
27	Phillips West	M199.84,404.74c-1.27,4.13-1.6,8.78.65,13.12.63,1.21.41,2.93.35,4.42s.27,2.8-.52,3.61a2.33,2.33,0,0,1-1.1.6c-5.39,1.59-4.61,1.48-5.33,1.59-8.94,1.31-14.08-.08-20.3,0a3.16,3.16,0,0,1-2.49-.79c-.66-.79-.48-2-.22-3.07a26.93,26.93,0,0,1,4.23-9c1.54-2,2.83-3.22,2.63-4.8-.06-.44-.29-1.4.21-1.86a1.3,1.3,0,0,1,1-.24c2.14,0,6.1-7,6.32-15.62,0-.23,0-.22,0-.5.14-5.44.09-8.28,1.6-9.7s4.24-1.23,9.88-1c3.24.11,4.57,1.43,4.38,4.53C200.71,392.25,201.77,398.47,199.84,404.74Z
28	Ventura Village	M247.06,380a15.94,15.94,0,0,0-7.91-.72c-1.63.25-3.68.64-3.88,2.56-.48,4.6-3.6,4.33-6.85,4.29-6.65-.07-13.3,0-19.95,0-1.85,0-4.08.07-4.1-2.48,0-3.92-2.21-4.62-5.46-4.61-4,0-7.45-2.49-11.64-2-3,.35-2.2-2.67-1.9-4,.74-3.33-2.76-7.44,1.56-9.93,1-.6,2.9.26,4.39.31a228,228,0,0,0,40.7-2.48c4.52-.69,7.39.47,9.08,4.72C243,370.34,245,375.05,247.06,380Z
29	Steven's Square - Loring Heights	M181.22,363.87a4.21,4.21,0,0,0-.05,3.74,2.27,2.27,0,0,1,.33,1.1c-.06,2-2.41,1.16-3.75,1.21-3.3.12-6.62,0-9.94,0-1.32,0-.86.17-2.93.42-4.79.59-6.28.25-9,.64-1.49.07-3.16.15-4.79.2-5.9.18-4.9-.26-8,0a54.39,54.39,0,0,1-7-.11c-1.15,0-2.62-.1-2.44-1.73a1,1,0,0,1,.28-.67c.61-.59,1.95-.36,2.15-.32,1.18.22,4.84-.57,14.93-4.38,5.41-1.88,9.71-4.71,15-2.82.71.25,2,.26,2.38-.18,4-4.8,7.81-.61,11.65.15a1.79,1.79,0,0,1,1.46,2.26A1.42,1.42,0,0,1,181.22,363.87Z
30	Loring Park	M175.14,356.46a47.24,47.24,0,0,0-25.72,5.31,18.35,18.35,0,0,1-3,1.6c-12.26,3.81-13.15,3.14-13.16-9.57v-9h.05c0-5,.08-10,0-14.95-.07-2.79.82-4.28,3.84-4.58a98.51,98.51,0,0,0,10.77-1.85c1.59-.34,2.76,0,3.22,1.44,2.52,7.78,9.32,10.83,15.67,14.39,4.06,2.26,8,4.76,12.21,6.71,2.21,1,2.85,2.29,2.91,4.54C182.06,357.7,182.18,357,175.14,356.46Z
31	North Loop	M195.79,283.51c-3.77.08-6.13,2.77-8.32,5.57-2.59,3.29-4.91,3.18-7.68.1-4.22-4.69-10.78-3.13-13.15,2.93-1.29,3.28-3.95,5.29-6.86,6.95A28.78,28.78,0,0,0,154,303c-4.08,3.89-7.64,7.89-5.76,14.23.52,1.74-.72,2.85-2.23,3.41a26.61,26.61,0,0,1-4.34,1.13c-7.51,1.44-8.47.68-8.42-6.87.05-7,.26-14,.31-21,0-1-.41-2-.59-3.89-.21-2.1-.12-3.13-.34-4.41.67-1.66.31-3.3,0-5-.85-4.81-1.13-9.6,1.35-14.11,2.82-5.12,6.37-8.4,13-8.07,7.91.4,16,1.25,23.66-2.12,1.71-.75,2.95,0,4,1.18,5.31,6.14,14.72,8.47,16.59,17.86,0,.27.79.37,1.36.92,1.18,1.14,1,2.19,1.87,3.37C194.18,281,196,281.8,195.79,283.51Z
32	Cedar Riverside	M299.8,361.66c-3.35,2-6.77,3.48-10.77,3.45-8.83-.07-17.65-.11-26.48,0-5.08.06-9.49-2-13.63-4.37-4.51-2.59-9.09-4.06-14.24-3.65-4,.33-4.93-1.68-4.35-5.2,1.3-7.82,5.77-14.06,10-20.43.58-.87,2.08-1.78,2-2.83a20.1,20.1,0,0,0,2.33-3.55c1.2-2.69,3.81-6.82,10-13.08a12.43,12.43,0,0,1,6.72,2.38c3.23,2.38,4.14,5.55,4.85,8,.61,2.12.35,2.75.08,3.06-.85,1-3.21.7-4.85-.17-2.31-1.22-2.12-3-4.93-4.67-1.11-.67-1.83-1.11-2.72-1-3.48.31-5.21,8-5.36,8.76-.91,4.25.58,3.93.49,12a5.42,5.42,0,0,0,1,3.78,5.09,5.09,0,0,0,3.44,1.47c5.62.64,11.38-3.26,16.06-1.4s9,5,14.44,5.83a35.29,35.29,0,0,1,16.2,6.13C302.92,358.22,302.88,359.84,299.8,361.66Z
33	Elliot Park	M227.05,348.77c-1.47,4.39-.37,10.28-7.91,10.16-10.15-.16-20.31.12-30.46.18-1.82,0-3.37-.51-3.55-2.66-.39-4.84-.82-9.84,2.43-13.88a94.11,94.11,0,0,0,9.19-14.23c1.07-2,2.14-3.82,3.83-4.22s3,.62,3.79,1.08c2.22,1.39,3,3.32,3.82,4.17a3.82,3.82,0,0,1-.25.62c-1,1.78.12,2.73,1.53,3.59,4.41,2.68,8.78,5.42,13.18,8.13C225.28,343.33,228.55,344.32,227.05,348.77Z
34	Downtown East	M249.42,312.56c.3,2.75-5.47,9.44-7.28,11.59-.78.93-1.66,2-2.5,3a5.05,5.05,0,0,0-2.33,2,85,85,0,0,0-5.87,9.27c-1.75,3.44-4,3.6-6.07,1a14.19,14.19,0,0,0-8.16-5.09c-2.09-.54-4.45-1.64-5.5-3.95-.44-1,.11-2.56-1.16-2.92-.3-1.48-2.7-1.88-3.64-3.67-.32-.6-1.4-2.18,3.92-10.54,2.27-3.59,5.09-6.9,7.21-10.57.86-1.49,2.31-.9,3.52-.14,7.63,4.84,16.09,7.06,25,7.95a3.65,3.65,0,0,1,2.34.71A2.47,2.47,0,0,1,249.42,312.56Z
35	Downtown West	M211.79,305.17c-1.91,1.12-2.69,2.48-3.78,4.15-4.41,6.74-9.34,13.09-16.12,17.73-1.25.85-2.49,2.24-2.12,3.73.92,3.73-1.46,6-3.39,8.36-4.39,5.32-6.24,5.21-10.86.13a8.86,8.86,0,0,0-5-3C157.7,334,153,325.8,151.11,312.91c.38-4.53,4.39-7.45,8.15-9.79,5.18-3.23,9.39-7.41,13.57-11.64,1.95-2,2.82-2.43,5-.21,6.53,6.65,6.66,6.52,13.77.26a34.49,34.49,0,0,0,3-2.61c2.37-2.62,4.49-2.7,7.22-.25a95,95,0,0,0,9.93,7.54C216,299.12,216.27,302.54,211.79,305.17Z
36	Nicollet Island - East Bank	M228.84,261.45c-.76,3.95-2.09,7.24-2.7,10.68-.12.66-.33.66-.65,1.39-2.41,5.45-1.45,6.76-3.24,8.84-1.36,1.59-2.74,1.8-2.82,3.14-2.48,2.19-6.29.75-8.65,3.38a1.82,1.82,0,0,1-1.15.69c-.92.09-1.56-.65-2.68-1.58a20.31,20.31,0,0,0-5.27-3.09c-1.72-.72-1.67-.39-2.26-.85-1.31-1-1.48-2.58-1.83-3.77-1-4.31-1.93-6.31-2.64-7.33a13,13,0,0,1-1.14-1.83,26.7,26.7,0,0,1-1.1-2.61,2.87,2.87,0,0,1,1.31-3.83c2.43-1.61,4.49-.62,6.37.91a47,47,0,0,1,3.89,3.84c.61.62,1,.81,1.35.75a5.47,5.47,0,0,0,5,.79,3.73,3.73,0,0,0,1.19-.8C213.07,268.84,217.61,266.3,228.84,261.45Z
37	Marcy Holmes	M287,292.33c-2.8,1.7-4.33,3.4-3.8,7.1s-2.65,5.37-6,4.12a25.36,25.36,0,0,1-6.51-3.62c-4-3-5.62-2.62-8.34,1.75-1,1.55-1.86,3.16-2.76,4.75-.82,1.44-1.88,2.37-3.65,1.78-5.26-1.77-10.83-1.69-16.23-2.61-9.51-1.63-17.19-6.91-25.5-12.63,2.67-1.6,5.48-2.78,7-5.35l0-.06c1-.45,2.39-2.63,5.41-8.34,3.27-6.2,2.62-5.53,4.24-8.37,2.64-4.62,5.1-9.34,7.72-14,.39-.7,1.08-1.42.93-2.2.16-.17.31-.36.47-.55.78-1,1.91-2.33,3.51-4.19a43.88,43.88,0,0,0,.57,6.84c.42,3.43,1.47,5.67,5.71,4.85,6.59-1.28,11.83,0,16.52,6,5.67,7.16,13.92,11.81,21,17.58C290.55,287.82,290.62,290.1,287,292.33Z
38	University of Minnesota	M301.66,323a20.05,20.05,0,0,0-.3,8.23c-.27,4.53-.7,12.76-.46,17.44,0,.48.1,1.83-.7,2.41-.58.44-1.52.38-2.74-.15a73.94,73.94,0,0,0-18.25-5,8.33,8.33,0,0,1-5.47-3.28c-2.22-3.12-4.87-3-7.91-1.81a23.7,23.7,0,0,1-10.32,1.36c-1.55-.12-3.77-.63-2.81-2.38,2.19-4,.08-7.39-.6-11-.27-1.46-1.35-3.56,1.11-4.19,2.11-.55,4.07-.09,4.38,2.65a2.38,2.38,0,0,0,.64,1.5,3.45,3.45,0,0,0,2.65.67c3.73-.24,7.19-.47,8.62-3.06,1.24-2.24.22-4.92-.58-7a19.37,19.37,0,0,0-4.64-6.9c-3.65-2.19-2-4.54-.66-7.15,1.67-3.26,3.69-1.8,5.78-.7,11.45,6,11.46,6,17.89-5,.68-1.15,1.19-2.41,2-3.48,1.43-2,1.61-6.21,5-5s7.12,3.25,7.31,7.43C302,307.18,303,316.5,301.66,323Z
39	Como	M356.08,266.39c-.3,4.81-.07,9.65-.07,14.47h-.9c0,10.48-.07,20.95,0,31.43,0,3.52-.9,5.08-4.64,3.54-12.61-5.18-25.49-9.69-37.61-16.07-11-5.8-19.86-14.48-29.69-21.84-5.31-4-10.88-7.71-15.29-12.78-.72-.83-2-1.56-1.48-2.9s2-.84,3.11-.91c1.66-.12,3.33,0,5-.16,2.56-.24,4.28-1.46,3.18-4.26-1.17-3,.26-3.34,2.73-3.4,7.82-.2,15.65-.83,21.61,6,1.87,2.13,4.9,1.8,7.57,1.75,13.47-.25,26.94-.39,40.4-.86C354.58,260.25,356.36,261.78,356.08,266.39Z
40	Mid-City Industrial	M356,252.49c0,3.39-1.32,4.54-4.72,4.8-10.5.78-21.07-2.21-31.27-.81-9.39,1.28-16.88,1.24-24.59-5.26-4.09-3.45-10.71-3.06-16.37-1.42-3.71,1.07-5.65,0-6-4.1-.76-8.43.89-16.21,5.72-23.19,3.14-4.53,7.6-5.86,12.75-4.38,3.67,1.05,7.2,2.59,10.79,3.91,10.52,3.86,20.53,3,30.11-3,6.36-4,12.92-7.59,19.29-11.53,3.34-2.06,4.35-1.08,4.3,2.53-.09,7.16,0,14.32,0,21.48C356,238.5,355.92,245.49,356,252.49Z
41	Beltrami	M272.91,257.1c-7-1-13.36-1.75-19.76-.3-2.27.51-2.9-1.13-2.87-3,.08-4.54-1-8.83-2.1-13.21-1.59-6.45,0-8.14,6.49-8.16,3.49,0,7,.1,10.47,0s4.82,1,4.33,4.71C268.35,245.67,269,248.66,272.91,257.1Z
42	St. Anthony East	M243.05,241.8a44.62,44.62,0,0,1-5.24,9.34,13,13,0,0,0-1.79,2.55c-.46.16-.89.39-1.35.55-2.62.92-6.28,4.4-7.43,2.83-2.84-3.83-7.73-6.63-7.91-12.19-.1-3-.12-6-.11-9a3.56,3.56,0,0,1,.52-2.43,1.85,1.85,0,0,1,.81-.49c2.16-.72,5,.28,8.1,0,1.21-.12.83-.51,2.52-.51h6c4.06,0,6.43.52,7.33,2C245.52,236,244.55,238.32,243.05,241.8Z
43	St. Anthony West	M219.31,261.79c-4.22,1.9-8.19,4.34-12.27,6.54l-.08,0,0-.05c-1.69-6.22-8.75-10-14.25-7.08-3,1.57-5.11,1.08-7.78-.4-10.35-5.71-13.78-15.18-14.69-26.14-.24-2.89.86-3.48,3.77-3.4,12.27.33,24.55.36,36.82.31,3.27,0,5.33.89,5,4.42-.75,7.43,1.23,14.12,5.11,20.37C222.44,258.78,222.31,260.44,219.31,261.79Z
44	Sheridan	M214.57,210.14c-1.76,4.9-.84,10.25-.44,15.32.27,3.44-.76,3.81-3.61,3.71-5-.18-10,0-16,0-6.1-.31-13.23.39-20.37-.77-3.75-.6-4.46-2.37-3.62-5.4a86.7,86.7,0,0,0,3-14.1c.57-5.48,5.58-7.72,9.9-4.27,2.26,1.8,4.35,1.87,6.87,1.84,7.14-.08,14.29,0,21.43.05C214.21,206.48,215.86,206.56,214.57,210.14Z
45	Logan Park	M244.63,227c-1,2.93-3.56,2.55-5.37,1.62-5.57-2.88-11.4-1.75-17-1-2.88.37-3.09-.22-3.09-2.41,0-3.48,0-7,0-10.46,0-1.83,0-3.65,0-5.48,0-10.63,0-10.46,10.6-11.95,3.71-.52,7.21-2.06,11.14-1.83,2,.13,3.2.76,3.7,1.71.65,1.25-.13,2.81-.45,3.54-2.59,5.87-.65,14.42.17,18.05C244.81,220.83,245.69,224,244.63,227Z
46	Northeast Park	M349.07,203.57c-12.75,14.49-32.14,19.67-49.92,13.22-5.71-2.07-11.54-1.95-17.26-1.23-4.71.6-7.07,4.94-8.71,8.91-1.55,3.76-3.78,5-7.62,4.74-4.31-.25-8.66-.16-13,0-3.18.09-4.55-1.2-4.48-4.42.11-5.49.17-11,0-16.48-.13-3.8,1.58-4.86,5.11-4.83,15.82.12,31.65-.07,47.47.18,4.36.07,7-1.4,9.37-5,5.07-7.77,10.77-15.12,15.3-23.27l1.79.25v17.68c0,10.31,0,10.31,10.37,10.31Z
